VOLKRAJ;KSTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;MANDAT;SKRUTINIUM;PORADIMAND;PORADINAHR;POHLAVI
1;5;2;Matěj;Stropnický;PhDr.;;38;novinář;Praha;1;99;7;A;3121;12,42;N;0;0;0;
1;5;3;Milan;Hrdý;doc. JUDr. Ing.;Ph.D.;54;vysokoškolský pedagog;Praha;1;7;7;A;1081;4,3;N;0;0;0;
1;5;4;Miloslav;Ludvík;JUDr. Ing.;MBA;58;ředitel Fakultní nemocnice v Motole;Praha;1;7;7;A;3198;12,73;N;0;0;0;
1;5;5;Michal;Pícl;Ing.;;35;náměstek na Ministerstvu práce a sociálních věcí;Praha;1;7;7;A;967;3,85;N;0;0;0;
1;5;6;Petr;Balla;PhDr.;;36;vysokoškolský pedagog;Praha;1;7;7;A;534;2,12;N;0;0;0;
1;5;7;Lukáš;Ulrych;Mgr.;;28;středoškolský pedagog;Praha;1;7;7;A;612;2,43;N;0;0;0;
1;5;8;Vilém;Čáp;Ing.;;31;první zástupce starostky MČ Praha 20, ekonom;Praha;1;7;7;A;258;1,02;N;0;0;0;
1;5;9;Jiří;Nosek;Mgr. et Mgr.;;36;garant odborného vzdělávání pro ICT a pro podporu digitálních kompetencí – Národní pedagogický institut ČR;Praha;1;7;7;A;332;1,32;N;0;0;0;
1;5;10;David;Pavlát;PhDr.;Ph.D.;41;historik moderních českých dějin a tiskový mluvčí;Praha;1;7;7;A;540;2,15;N;0;0;0;
1;5;11;Jana;Trková;MUDr.;;68;lékařka;Praha;1;7;7;A;527;2,09;N;0;0;0;
1;5;12;Pavel;Hodek;Mgr. Bc.;;47;obchodní manažer;Praha;1;7;7;A;100;0,39;N;0;0;0;
1;5;13;David;Kopecký;;BA (Hons);39;collection manager;Praha;1;7;7;A;61;0,24;N;0;0;0;
1;5;14;Jiřina;Růžičková;Mgr.;;69;pedagog;Praha;1;7;7;A;214;0,85;N;0;0;0;
1;5;15;Ladislav;Kubizňák;Ing.;;71;jednatel;Praha;1;7;7;A;44;0,17;N;0;0;0;
1;5;16;Miroslav;Svoboda;Ing.;;59;ekonom;Praha;1;7;7;A;161;0,64;N;0;0;0;
1;5;17;Lubomír;Lampert;Ing.;;66;ekonom;Praha;1;7;7;A;63;0,25;N;0;0;0;
1;5;18;Václav;Školout;JUDr.;;68;advokát;Praha;1;7;7;A;84;0,33;N;0;0;0;
1;5;19;Bohuslav;Nigrin;Ing.;;76;projektant, senior;Praha;1;7;7;A;64;0,25;N;0;0;0;
1;5;20;Bohdan;Babinec;MUDr.;CSc.;77;chirurg;Praha;1;7;7;A;194;0,77;N;0;0;0;
1;5;21;Hana;Kapasná;Bc.;;38;bankéřka;Praha;1;7;7;A;212;0,84;N;0;0;0;
1;5;22;Viktor;Novák;Ing.;;60;zaměstnanec státního fondu;Praha;1;7;7;A;35;0,13;N;0;0;0;
1;5;23;Sylva;Nevedomská;Mgr.;;51;právnička, referentka bytového odboru;Praha;1;7;7;A;289;1,15;N;0;0;0;
1;5;24;Kateřina;Peštová;;;38;PR, event & marketing manager;Praha;1;7;7;A;184;0,73;N;0;0;0;
1;5;25;Vladimír;Špidla;PhDr.;;70;historik, ředitel Masarykovy demokratické akademie;Praha;1;7;7;A;2515;10,01;N;0;0;0;
1;5;26;Josef;Sátora;;;36;státní zaměstnanec a odborář;Praha;1;7;7;A;173;0,68;N;0;0;0;
1;5;27;Tomáš;Bohata;;;49;strážník Městské policie hlavního města Prahy;Přezletice;538671;7;7;A;166;0,66;N;0;0;0;
1;5;28;František;Podhajský;Mgr.;Ph.D.;40;vysokoškolský pedagog;Praha;1;7;7;A;157;0,62;N;0;0;0;
1;5;29;Martina;Nedrdová Bucková;Mgr.;;37;speciální pedagožka;Praha;1;7;7;A;283;1,12;N;0;0;0;
1;5;30;Petr;Serafín;Ing.;;68;ředitel odboru stavebnictví na Ministerstvu průmyslu a obchodu ČR, Investiční rozvoj obcí, měst a veřejné infrastruktury;Praha;1;7;7;A;135;0,53;N;0;0;0;
1;5;31;Vladimír;Hromek;Ing.;;38;systémový specialista;Loděnice;531464;7;7;A;81;0,32;N;0;0;0;
1;5;32;Jan;Tomčík;Ing.;;73;technik;Praha;1;7;7;A;63;0,25;N;0;0;0;
1;5;33;Vladimír;Vaněk;;;46;podnikatel, Sportovní management - Svaz dělnických tělovýchovných jednot ČR, DTJ Modřanka;Praha;1;7;7;A;133;0,52;N;0;0;0;
1;5;34;Filip;Outrata;Mgr.;Ph.D.;46;redaktor, vysokoškolský pedagog, publicista;Praha;1;7;7;A;398;1,58;N;0;0;0;
1;5;35;Pavel;Traub;Mgr.;;33;novinář, pracovník v diplomacii;Praha;1;7;7;A;206;0,82;N;0;0;0;
1;5;36;Daniel;Ort;;;28;produkční;Praha;1;7;7;A;235;0,93;N;0;0;0;
1;6;1;Petr;Cibulka;;;70;pětinásobný politický vězeň, vydavatel seznamů StB, nezávislý novinář, politický analytik, šéfredaktor NECENZUROVANÝCH NOVIN, serveru WWW.CIBULKA.NET, předseda politické strany a autor jejího programu;Praha;1;98;98;A;80;13,65;N;0;0;0;
1;6;2;Jan;Bečka;;;43;vedoucí mycí linky;Ohrazenice;577359;99;98;A;12;2,04;N;0;0;0;
1;6;3;Milan;Mikeš;Mgr.;;50;počítačový specialista;Římov;545007;99;98;A;10;1,7;N;0;0;0;
1;6;4;Zdeněk;Macíček;;;38;specialista informačních technologií;Praha;1;99;98;A;20;3,41;N;0;0;0;
1;6;5;Zbyhněv;Zientek;MUDr.;;61;zubní lékař;Třinec;598810;99;98;A;5;0,85;N;0;0;0;
1;6;6;Stanislav;Vilím;;;50;technik údržby letadel;Starý Kolín;533700;99;98;A;8;1,36;N;0;0;0;
1;6;7;Miroslav;Václavek;;;56;manažer;Šumperk;523704;99;98;A;6;1,02;N;0;0;0;
1;6;8;Gustav;Baumann;;;50;zootechnik - vedoucí farmy;Mašťov;563218;99;98;A;10;1,7;N;0;0;0;
1;6;9;Milan;Kočík;;;66;angažovaný občan - Český ombudsman;Žďár nad Sázavou;595209;99;98;A;11;1,87;N;0;0;0;
1;6;10;Lubomír;Tichý;Ing.;;74;angažovaný občan - důchodce;Jaroměřice;578151;99;98;A;6;1,02;N;0;0;0;
1;6;11;Vilém;Schick;;;59;trenér bojových umění;Praha;1;99;98;A;9;1,53;N;0;0;0;
1;6;12;Antonín;Grund;;;64;živnostník;Rokytnice v Orlických horách;576701;99;98;A;7;1,19;N;0;0;0;
1;6;13;Milan;Jirůšek;;;54;dělník;Hošťálková;542750;99;98;A;7;1,19;N;0;0;0;
1;6;14;Jiří;Přáda;Ing.;;66;ekonom - důchodce;Mělník;534676;99;98;A;3;0,51;N;0;0;0;
1;6;15;Martin;Holman;;;32;živnostník;Praha;1;99;98;A;18;3,07;N;0;0;0;
