KRZAST;KSTRANA;VSTRANA;NAZEVCELK;NAZEV_STRK;ZKRATKAK30;ZKRATKAK8;POCSTRVKO;SLOZENI;STAVREG;PLATNOST;SLOZNEPLAT;CPU
3;47;53;Občanská demokratická strana;Občanská demokratická strana;Občanská demokratická strana;ODS;1;053;0;0;
3;48;7;Česká strana sociálně demokratická;Česká strana sociálně demokratická;Česká str.sociálně demokrat.;ČSSD;1;007;0;0;
4;53;632;Dělnická strana - za zrušení poplatků ve zdravotnictví;Dělnická strana-za zrušení poplatků ve zdravotn.;Děln.str.-zrušení popl.ve zdr.;DS_POPL;2;153,156;0;0;
4;55;630;Koalice pro Karlovarský kraj;Koalice pro Karlovarský kraj;Koalice pro Karlovarský kraj;KOAL_KV1;2;001,112;0;0;
4;1;47;Komunistická strana Čech a Moravy;Komunistická strana Čech a Moravy;Komunistická str.Čech a Moravy;KSČM;1;047;0;0;
4;18;5;Strana zelených;Strana zelených;Strana zelených;SZ;1;005;0;0;
4;25;701;Doktoři (za uzdravení společnosti);Doktoři (za uzdravení společnosti);Doktoři (za uzdravení společ.);Doktoři;1;701;0;0;
4;32;137;Strana zdravého rozumu;Strana zdravého rozumu;Strana zdravého rozumu;SZR;1;137;0;0;
4;33;11;Sdružení pro republiku-Republikánská strana Československa;Sdružení pro republiku-Republikán.strana Českosl.;Sdruž.pro rep.-Republ.str.Čsl.;SPR-RSČ;1;011;0;0;
4;37;155;SDŽ - Strana důstojného života;SDŽ - Strana důstojného života;SDŽ-Strana důstojného života;SDŽ;1;155;0;0;
4;38;102;Unie svobody - Demokratická unie;Unie svobody - Demokratická unie;Unie svobody-Demokratická unie;US-DEU;1;102;0;0;
4;42;98;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;Volte Pravý Blok - www.cibulka.net;Volte Pr.Blok-www.cibulka.net;PB;1;098;0;0;
4;47;53;Občanská demokratická strana;Občanská demokratická strana;Občanská demokratická strana;ODS;1;053;0;0;
4;48;7;Česká strana sociálně demokratická;Česká strana sociálně demokratická;Česká str.sociálně demokrat.;ČSSD;1;007;0;0;
4;49;702;"ALTERNATIVA PRO KRAJ";"ALTERNATIVA PRO KRAJ";"ALTERNATIVA PRO KRAJ";"Altern";1;702;0;0;
5;56;164;Evropská strana důstojného stáří;Evropská strana důstojného stáří;Evropská str.důstojného stáří;ESDS;1;164;0;0;
5;60;142;Sdružení pro zdraví, sport a prosperitu;Sdružení pro zdraví, sport a prosperitu;Sdr.pro zdr.,sport a prosper.;SZSP;1;142;0;0;
5;53;632;Dělnická strana - za zrušení poplatků ve zdravotnictví;Dělnická strana-za zrušení poplatků ve zdravotn.;Děln.str.-zrušení popl.ve zdr.;DS_POPL;2;153,156;0;0;
5;54;635;Konzervativní koalice;Konzervativní koalice;Konzervativní koalice;KONZKOAL;4;021,024,055,079;0;0;
5;1;47;Komunistická strana Čech a Moravy;Komunistická strana Čech a Moravy;Komunistická str.Čech a Moravy;KSČM;1;047;0;0;
5;3;129;SNK Evropští demokraté;SNK Evropští demokraté;SNK Evropští demokraté;SNK ED;1;129;0;0;
5;10;704;Severočeši.cz;Severočeši.cz;Severočeši.cz;S.cz;1;704;0;0;
5;17;68;Masarykova demokratická strana;Masarykova demokratická strana;Masarykova demokratická strana;MDS;1;068;0;0;
5;18;5;Strana zelených;Strana zelených;Strana zelených;SZ;1;005;0;0;
5;32;137;Strana zdravého rozumu;Strana zdravého rozumu;Strana zdravého rozumu;SZR;1;137;0;0;
5;33;11;Sdružení pro republiku-Republikánská strana Československa;Sdružení pro republiku-Republikán.strana Českosl.;Sdruž.pro rep.-Republ.str.Čsl.;SPR-RSČ;1;011;0;0;
5;34;636;DOHODA pro Ústecký kraj;DOHODA pro Ústecký kraj;DOHODA pro Ústecký kraj;DOHODA_Ú;2;102,138;0;0;
5;39;140;Balbínova poetická strana;Balbínova poetická strana;Balbínova poetická strana;BPS;1;140;0;0;
5;42;98;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;Volte Pravý Blok - www.cibulka.net;Volte Pr.Blok-www.cibulka.net;PB;1;098;0;0;
5;43;197;NESPOKOJENÍ OBČANÉ!;NESPOKOJENÍ OBČANÉ!;NESPOKOJENÍ OBČANÉ!;NO!;1;197;0;0;
5;47;53;Občanská demokratická strana;Občanská demokratická strana;Občanská demokratická strana;ODS;1;053;0;0;
